ID,Name,Length,Genre,Rating,Season,Title,EpisodeNumber
1,Yellowstone,92,Drama,8.1,1,Daybreak,1
2,Yellowstone,45,Drama,7.8,1,Kill the Messenger,2
3,Yellowstone,48,Drama,8.1,1,No Good Horses,3
4,Yellowstone,46,Drama,8,1,The Long Black Train,4
5,Yellowstone,45,Drama,8.2,1,Coming Home,5
6,Yellowstone,47,Drama,8,1,The Remembering,6
7,Yellowstone,48,Drama,8.3,1,A Monster Is Among Us,7
8,Yellowstone,47,Drama,8.4,1,The Unravelling: Pt. 1,8
9,Yellowstone,48,Drama,8.7,1,The Unravelling: Pt. 2,9
10,Yellowstone,46,Drama,8,2,A Thundering,1
11,Yellowstone,47,Drama,8.1,2,New Beginnings,2
12,Yellowstone,47,Drama,8.2,2,The Reek of Desperation,3
13,Yellowstone,45,Drama,8.4,2,Only Devils Left,4
14,Yellowstone,46,Drama,8.5,2,Touching Your Enemy,5
15,Yellowstone,48,Drama,8.6,2,Blood the Boy,6
16,Yellowstone,47,Drama,9.2,2,Resurrection Day,7
17,Yellowstone,47,Drama,8.7,2,Behind Us Only Grey,8
18,Yellowstone,47,Drama,8.9,2,Enemies by Monday,9
19,Yellowstone,49,Drama,9.1,2,Sins of the Father,10
20,Yellowstone,45,Drama,8.1,3,You're the Indian Now,1
21,Yellowstone,46,Drama,8.3,3,Freight Trains and Monsters,2
22,Yellowstone,46,Drama,8,3,An Acceptable Surrender,3
23,Yellowstone,47,Drama,8.2,3,Going Back to Cali,4
24,Yellowstone,47,Drama,8.3,3,Cowboys and Dreamers,5
25,Yellowstone,46,Drama,8.5,3,All for Nothing,6
26,Yellowstone,48,Drama,8.4,3,The Beating,7
27,Yellowstone,47,Drama,8.7,3,I Killed a Man Today,8
28,Yellowstone,48,Drama,8.8,3,Meaner Than Evil,9
29,Yellowstone,50,Drama,9,3,The World Is Purple,10
30,Yellowstone,58,Drama,9.1,4,Half the Money,1
31,Yellowstone,47,Drama,8.4,4,Phantom Pain,2
32,Yellowstone,45,Drama,8.2,4,All I See Is You,3
33,Yellowstone,47,Drama,8.3,4,Winning or Learning,4
34,Yellowstone,48,Drama,8.1,4,Under a Blanket of Red,5
35,Yellowstone,47,Drama,8.4,4,I Want to Be Him,6
36,Yellowstone,47,Drama,8.5,4,Keep the Wolves Close,7
37,Yellowstone,48,Drama,8.6,4,No Kindness for the Coward,8
38,Yellowstone,47,Drama,8.7,4,No Such Thing as Fair,9
39,Yellowstone,59,Drama,8.9,4,Grass on the Streets and Weeds on the Rooftops,10
40,Yellowstone,64,Drama,8,5,One Hundred Years Is Nothing,1
41,Yellowstone,59,Drama,7.9,5,The Sting of Wisdom,2
42,Yellowstone,53,Drama,7.8,5,Tall Drink of Water,3
43,Yellowstone,58,Drama,8.1,5,Horses in Heaven,4
44,Yellowstone,52,Drama,7.7,5,Watch 'Em Ride Away,5
45,Yellowstone,54,Drama,8.2,5,"Cigarettes, Whiskey, a Meadow and You",6
46,Yellowstone,55,Drama,8.4,5,The Dream Is Not Me,7
47,Yellowstone,51,Drama,8,5,A Knife and No Coin,8
48,Yellowstone,49,Drama,7.6,5,Desire Is All You Need,9
49,Yellowstone,47,Drama,7.7,5,The Apocalypse of Change,10
50,Yellowstone,47,Drama,8.3,5,Three Fifty-Three,11
51,Yellowstone,52,Drama,7.9,5,Counting Coup,12
52,Yellowstone,54,Drama,8.1,5,Give the World Away,13
53,Yellowstone,86,Drama,8.5,5,Life Is a Promise,14
54,Bridgerton,58,Drama,8,1,Diamond of the First Water,1
55,Bridgerton,62,Drama,8.1,1,Shock and Delight,2
56,Bridgerton,57,Drama,8,1,Art of the Swoon,3
57,Bridgerton,61,Drama,8,1,An Affair of Honor,4
58,Bridgerton,61,Drama,8.2,1,The Duke and I,5
59,Bridgerton,57,Drama,8,1,Swish,6
60,Bridgerton,60,Drama,8.1,1,Oceans Apart,7
